what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335367814139
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335367865304
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335367885481
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335367890263
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335367902582
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335367917242
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335367927571
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335367933592
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335367938116
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335368140265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335368153893
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335368170262
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335368177812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335368251612
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335368264364
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335368266102
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335368281836
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335368304676
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335368304880
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335368304957
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335368309615
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335368311510
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335368316975
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1335368324397
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335368326411
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335368344343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1335368353332
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335368355144
